Active Minds at MIT,activeminds-exec@mit.edu
Alpine Ski Club,alpinecaptains@mit.edu
Alternative Spring Break,asb-board@mit.edu
American Jiu Jitsu at MIT,jitsu-off@mit.edu
American Red Cross Team And Network of MIT,arctan-exec@mit.edu
Amphibious Achievement,aa-exec@mit.edu
MIT Anime,anime-inquiry@mit.edu
Arab Student Organization,arab-comm@mit.edu
Art of Living at MIT,artofliving-officers@mit.edu
Asha-MIT,asha-request@mit.edu
Asian American Association,aaa-exec@mit.edu
Asian Baptist Student Koinonia,absk2000@mit.edu
Asian Christian Fellowship,mitacf-request@mit.edu
Asian Dance Team,adt-exec@mit.edu
MIT Assassins' Guild,high-council@mit.edu
Association of Taiwanese Students,ats-exec@mit.edu
The Asymptones,asymptones-officers@mit.edu
MIT Baha'i Association,mitbaexec@mit.edu
Ballroom Dance Club,bdc-info@mit.edu
Ballroom Dance Team,mitbdt-exec-private@mit.edu
Baptist Student Fellowship,bsf-request@mit.edu
MIT Bhangra,bhangra-exec@mit.edu
Black Students' Union,bsu-exec@mit.edu
MIT BrainTrust,braintrust-exec@mit.edu
Buddhist Students Club,buddhiststudents@mit.edu
Bulgarian Club at MIT,bg-club-officers@mit.edu
Camp Kesem MIT,campkesem@mit.edu
Cru / Campus Crusade for Christ,mitccc-officers@mit.edu
Canadians Club,canadians-owner@mit.edu
Career Fair Committee,cf-directors@mit.edu
Casino Rueda Salsa Group,rueda_inner_circle@mit.edu
Challah for Hunger,cfh-exec@mit.edu
Chamak,chamakboard@mit.edu
Cheerleading,cheer-captains@mit.edu
China Care at MIT,chinacare-exec@mit.edu
Chinese Students Club,mitcsc@mit.edu
Chorallaries of MIT,choral-info@mit.edu
Class of 2015,2015council@mit.edu
College Democrats @ MIT,collegedems-exec@mit.edu
Colleges Against Cancer,cac-exec@mit.edu
Concert Band,bavicchi-lives@mit.edu
Concert Choir Students,concert-choir-admin@mit.edu
Constructs Dance Crew,constructs-exec@mit.edu
Cross Products,xprod-request@mit.edu
Curling Club,curling-owner@mit.edu
DanceTroupe,dt-officers@mit.edu
Debate Team,debate-request@mit.edu
Dramashop,ds_officers@mit.edu
InnoWorks,innoworks@mit.edu
E33 Productions,e33-board@mit.edu
Educational Studies Program,esp@mit.edu
Electronic Research Society,miters-president@mit.edu
MIT EMS,shanasia@mit.edu
MIT Energy Club,energyclub@mit.edu
Engineers Without Borders-MIT,ewb-exec@mit.edu
Ethiopian-Eritrean Students Association,eesa-exec@mit.edu
Falun Dafa Club,falundafa-officers@mit.edu
MIT Fighting World Hunger,mfwh_exec@mit.edu
Figure Skating Club,skating-admin@mit.edu
Filipino Students Association,mitfsa@mit.edu
Film Club,filmclub-officer@mit.edu
MIT Flying Club,flying-exec@mit.edu
Folk Dance Club,fdc@mit.edu
The Forum,theforum-exec@mit.edu
MIT Future Society,overseers@mit.edu
GaMIT,gamit-admin@mit.edu
Gender Fluidity Group,parrotfish-exec@mit.edu
Gilbert and Sullivan Players,gsp-ec@mit.edu
Global China Connection,gcc_exec@mit.edu
Global Poverty Initiative,gpi-board@mit.edu
Global Zero at MIT,sbrinton@mit.edu
GlobeMed at MIT,globemed-exec@mit.edu
Gospel Choir,gospel-choir-exec@mit.edu
Graduate Christian Fellowship,mit-gcf-info@mit.edu
Graduate Women at MIT,gwamit-exec@mit.edu
Greek InterVarsity,greekiv-exec@mit.edu
Guild of Bellringers,bellringers@mit.edu
Habitat for Humanity,mit-habitat-exec@mit.edu
Hillel,hillel-board@mit.edu
IAP Web Programming Competition,6.470-staff@mit.edu
Interfraternity Council,ifc-exec@mit.edu
International Students Association,isa-execcom@mit.edu
MIT InterVarsity,mitiv-exec@mit.edu
Israeli Association,israelim-officers@mit.edu
"Kendo Club, MIT",kendo_officials@mit.edu
MIT Korean Karate Club,mitkkc-officers@mit.edu
Korean Students Association,ksa-exec@mit.edu
Laboratory for Chocolate Science,chocolatiers-officers@mit.edu
Latter-day Saint Student Association,ldssa-officers@mit.edu
Leadership Training Institute,lti-directors@mit.edu
The Lebanese Club at MIT,lebanon-exec@mit.edu
Lecture Series Committee,lsc@mit.edu
MIT Lindy Hop Society,swing@mit.edu
Lion Dance Team,lion-dance-exec@mit.edu
Literary Society,litsociety-exec@mit.edu
Live Music Connection,lmc-exec@mit.edu
MIT Logarhythms,logs@mit.edu
Marching Band,marching@mit.edu
MEDLIFE,mitmedlife@mit.edu
MedLinks,medlinks-exec@mit.edu
Men's Ice Hockey Club,menshockeyofficers@mit.edu
Men's Rugby Football Club,mitrugby-exec@mit.edu
Mexican Student Association,clubmex-officers@mit.edu
Society of Latino Engineers and Scientists,maes-request@mit.edu
Middle East Education Through Technology,mit-officers@meet.mit.edu
MIT Mirchi,mirchi-exec@mit.edu
MITALY - Italian Student Association,mitalylist@mit.edu
Mocha Moves Dance Squad,mocaptains@mit.edu
The MIT Muses,muses@mit.edu
Musical Theatre Guild,mtg-exec@mit.edu
Muslim Students' Association,msa-ec-current@mit.edu
National Society of Black Engineers,nsbe-eboard@mit.edu
Network of Sloan Undergraduate Women,nsuw-exec@mit.edu
NOBCChE-MIT,nobcche_exec@mit.edu
Ohms,ohms-exec@mit.edu
OrigaMIT,origami-info@mit.edu
Orthodox Christian Fellowship,orthodox-exec@mit.edu
MIT Outing Club,mitoc-owner@mit.edu
Paksmit,paksmit-exec@mit.edu
Panhellenic Association,sororities@mit.edu
Pro-Life,pro-life-officers@mit.edu
MIT Protestant Student Community,pscomm-officers@mit.edu
Quidditch Team,quidditch-execs@mit.edu
Quiz Bowl Team,bowladmin@mit.edu
Resonance of MIT,resonance-exec@mit.edu
Ridonkulous,ridonk-exec@mit.edu
Roadkill Buffet,rkb@mit.edu
Rune MIT Journal of Arts and Letters,rune@mit.edu
Scandinavian Society,scandi-official@mit.edu
Science Fiction Society,mitsfs@mit.edu
Secular Society of MIT,ssomit-officers@mit.edu
Shakespeare Ensemble,ensemble-request@mit.edu
Society of Asian Scientists and Engineers,sase-exec@mit.edu
Society of Hispanic Professional Engineers,shpe-exec@mit.edu
South Asian American Students,saasboard@mit.edu
Spain@MIT,spaniards-request@mit.edu
Sport Pistol Club,pistol-exec@mit.edu
Sport Taekwondo Club,sport-tkd-info@mit.edu
Sporting Clays Association,sportclays-officers@mit.edu
Strategic Games Society,sgs-officers@mit.edu
Student Cable Group,studentcable-exec@mit.edu
Student Information Processing Board,sipb-ec@mit.edu
Students at MIT Allied for Student Health,smash-board@mit.edu
Students for Bhopal at MIT,latifah@mit.edu
MIT Students for Israel,mitsi-officers@mit.edu
Syncopasian,syncopasian-exec@mit.edu
Tapioca@MIT,tapioca-exec@mit.edu
MIT Team HBV,teamhbv@mit.edu
Tech Catholic Community,tcc@mit.edu
Tech Squares,squares@mit.edu
The Tech,join@tech.mit.edu
MIT Techfair,techfair-exec@mit.edu
Techiya,techiya@mit.edu
Technique,technique@mit.edu
Toons,toons-request@mit.edu
Traders@MIT,traders@mit.edu
Triathlon Club,tri-exec@mit.edu
Turkish Student Association,tsa-exec@mit.edu
Undergraduate Association,ua-admin@mit.edu
Ventureships Club,ventureships@gmail.com
WMBR Radio,membership-director@wmbr.org
Women's Ice Hockey Club,club-hockey-officers@mit.edu
Women's Rugby Club,wrugby-request@mit.edu
Women's Ultimate Fri,womens-ultimate@mit.edu
Women's Volleyball Club,wvc-officers@mit.edu
Women's Water Polo,polo-ditch@mit.edu
MIT Event+,eventplus@mit.edu
