Active Minds at MIT,activeminds-exec@mit.edu,"mental health,health,wellness,medical,advocacy"
Alpine Ski Club,alpinecaptains@mit.edu,"skiing,ski team,ski,winter sport,sport,club sport,ski racing"
Alternative Spring Break,asb-board@mit.edu,"community service,travel,spring break"
American Jiu Jitsu at MIT,jitsu-off@mit.edu,"martial arts,self defense,grappling"
American Red Cross Team And Network of MIT,arctan-exec@mit.edu,"volunteer,red cross,service,donation,first aid,cpr"
Amphibious Achievement,aa-exec@mit.edu,"service,public,public service,rowing,swimming,athletics,tutoring,education"
Arab Student Organization,arab-comm@mit.edu,
Art of Living at MIT,artofliving-officers@mit.edu,"health,well-being,meditation"
Asha-MIT,asha-request@mit.edu,"development,education,india,volunteer"
Asian American Association,aaa-exec@mit.edu,"aaa,food,chinese food,asians,asian american association,korean,japanese,indian,dim sum"
Asian Baptist Student Koinonia,absk2000@mit.edu,"christian,fellowship,asian,baptist,jesus,bible"
Asian Christian Fellowship,mitacf-request@mit.edu,
Asian Dance Team,adt-exec@mit.edu,"dance,asian,traditional,kpop,hiphop,culture"
Association of Taiwanese Students,ats-exec@mit.edu,"asian culture,taiwan"
Ballroom Dance Club,bdc-info@mit.edu,"ballroom,dance,waltz,tango,salsa,swing"
Ballroom Dance Team,mitbdt-exec-private@mit.edu,"dance,latin,ballroom"
Baptist Student Fellowship,bsf-request@mit.edu,
Black Students' Union,bsu-exec@mit.edu,"black,union,cultural,culture,social,community,service,support,mit"
Buddhist Students Club,buddhiststudents@mit.edu,spiritual; buddhist; meditation; yoga; mind; consciousness
Bulgarian Club at MIT,bg-club-officers@mit.edu,
Camp Kesem MIT,campkesem@mit.edu,community service
Canadians Club,canadians-owner@mit.edu,
Career Fair Committee,cf-directors@mit.edu,
Casino Rueda Salsa Group,rueda_inner_circle@mit.edu,"cuban,salsa,cuban salsa,dance,latino,hispanic,caribbean,tropical,rueda,casino rueda"
Challah for Hunger,cfh-exec@mit.edu,"baking,hunger"
Chamak,chamakboard@mit.edu,
Cheerleading,cheer-captains@mit.edu,"school spirit,cheer,gymnastics,dance,co-ed,sport,club,team,pride"
China Care at MIT,chinacare-exec@mit.edu,
